"tax_year","pin","min_bldg_sf","max_bldg_sf","bldg_sf_ratio","num_sharing_pin"
"2019","09281030170000",900,1040,1.1556,2
"2019","17321040390000",1036,1200,1.1583,2
"2019","19241170370000",1640,1900,1.1585,2
"2019","22204280020000",927,1074,1.1586,2
"2019","17283150220000",966,1120,1.1594,2
"2019","10132210060000",1200,1392,1.16,2
"2019","15033150190000",1211,1405,1.1602,2
"2019","28122150150000",720,836,1.1611,2
"2019","25092050130000",869,1010,1.1623,2
"2019","25211150160000",704,819,1.1634,2
"2019","15352040370000",1200,1398,1.165,2
"2019","03073020040000",768,896,1.1667,2
"2019","25103230050000",600,700,1.1667,2
"2019","28134150140000",941,1100,1.169,2
"2019","16262050090000",1260,1474,1.1698,2
"2019","17063130340000",1600,1874,1.1712,2
"2019","09202180210000",1224,1436,1.1732,2
"2019","25223130050000",600,704,1.1733,2
"2019","13093060290000",600,704,1.1733,2
"2019","17312140090000",1142,1340,1.1734,2
"2019","18134160170000",1267,1487,1.1736,2
"2019","10242110020000",1417,1664,1.1743,2
"2019","28134130230000",781,918,1.1754,2
"2019","14302110070000",1380,1623,1.1761,2
"2019","16054140250000",1092,1285,1.1767,2
"2019","19013050350000",1261,1484,1.1768,2
"2019","13351240010000",1625,1913,1.1772,2
"2019","25222090540000",1248,1470,1.1779,2
"2019","01032000260000",6195,7301,1.1785,2
"2019","25313110060000",704,830,1.179,2
"2019","11191010190000",1398,1649,1.1795,2
"2019","05343080340000",1118,1319,1.1798,2
"2019","12243280230000",670,792,1.1821,2
"2019","29161040250000",532,629,1.1823,2
"2019","20301180110000",778,920,1.1825,2
"2019","10313170080000",1322,1564,1.1831,2
"2019","12023000010000",1014,1200,1.1834,2
"2019","32203000160000",867,1026,1.1834,2
"2019","27183000020000",1225,1454,1.1869,2
"2019","25124430230000",1050,1247,1.1876,2
"2019","16351040450000",740,879,1.1878,2
"2019","23271020090000",800,951,1.1888,2
"2019","02184010100000",720,856,1.1889,2
"2019","16012190370000",538,640,1.1896,2
"2019","32281040140000",829,987,1.1906,2
"2019","17194160210000",1121,1339,1.1945,2
"2019","21313050050000",1038,1240,1.1946,2
"2019","29073140610000",713,852,1.195,2
"2019","01052000060000",1698,2030,1.1955,2
"2019","26071650110000",736,880,1.1957,2
"2019","18094020050000",644,770,1.1957,2
"2019","18094020060000",644,770,1.1957,2
"2019","25303080010000",986,1179,1.1957,2
"2019","13241060350000",729,873,1.1975,2
"2019","13173150170000",1042,1248,1.1977,2
"2019","17283030270000",696,834,1.1983,2
"2019","16063170040000",816,978,1.1985,2
"2019","25322140180000",1073,1286,1.1985,2
"2019","12012160260000",855,1025,1.1988,2
"2019","07222010100000",2977,3571,1.1995,2
"2019","10242230050000",1452,1742,1.1997,2
"2019","32102000110000",1321,1585,1.1998,2
"2019","19124140370000",1260,1512,1.2,2
"2019","24361020040000",1000,1200,1.2,2
"2019","19301010420000",1200,1440,1.2,2
"2019","13362130250000",900,1080,1.2,2
"2019","28011060090000",677,814,1.2024,2
"2019","28011060100000",677,814,1.2024,2
"2019","10252050280000",1406,1691,1.2027,2
"2019","32082070030000",736,888,1.2065,2
"2019","15041030330000",1055,1273,1.2066,2
"2019","29151030020000",626,756,1.2077,2
"2019","11071200390000",1412,1706,1.2082,2
"2019","17193080460000",1071,1296,1.2101,2
"2019","10134140110000",1692,2048,1.2104,2
"2019","20213050280000",2119,2566,1.2109,2
"2019","09202170180000",825,1000,1.2121,2
"2019","17194190100000",660,800,1.2121,2
"2019","20042170880000",1012,1228,1.2134,2
"2019","13283170100000",1595,1936,1.2138,2
"2019","17062040020000",1463,1778,1.2153,2
"2019","25313510030000",1008,1225,1.2153,2
"2019","24254140270000",868,1056,1.2166,2
"2019","25152181310000",874,1065,1.2185,2
"2019","15343020050000",1145,1396,1.2192,2
"2019","29073130400000",806,983,1.2196,2
"2019","29073130500000",806,983,1.2196,2
"2019","03362000240000",1000,1220,1.22,2
"2019","17283120160000",720,880,1.2222,2
"2019","18041120080000",621,759,1.2222,2
"2019","18041120090000",621,759,1.2222,2
"2019","17193150050000",589,720,1.2224,2
"2019","25303100070000",1488,1820,1.2231,2
"2019","10124090050000",1248,1528,1.2244,2
"2019","20364080010000",980,1200,1.2245,2
"2019","20072170330000",2520,3092,1.227,2
"2019","29071330560000",936,1150,1.2286,2
"2019","28022040070000",840,1032,1.2286,2
"2019","25313540070000",917,1127,1.229,2
"2019","29094180340000",729,896,1.2291,2
"2019","01054010030000",3076,3782,1.2295,2
"2019","13201260290000",891,1098,1.2323,2
"2019","17061120440000",1734,2142,1.2353,2
"2019","16244240020000",714,882,1.2353,2
"2019","05063130380000",2048,2534,1.2373,2
"2019","29174140320000",640,792,1.2375,2
"2019","17333240260000",560,693,1.2375,2
"2019","19182140340000",1112,1378,1.2392,2
"2019","16201080210000",796,987,1.2399,2
"2019","14051220170000",1470,1824,1.2408,2
"2019","29174190170000",612,760,1.2418,2
"2019","14334130420000",1708,2121,1.2418,2
"2019","29061090240000",948,1180,1.2447,2
"2019","15154230240000",946,1178,1.2452,2
"2019","30172130130000",1450,1806,1.2455,2
"2019","18021010110000",960,1197,1.2469,2
"2019","17063070390000",1700,2121,1.2476,2
"2019","09333080220000",1100,1375,1.25,2
"2019","17193080240000",1500,1875,1.25,2
"2019","19061240270000",734,919,1.252,2
"2019","22273020420000",872,1092,1.2523,2
"2019","02164110100000",1097,1374,1.2525,2
"2019","10183240300000",640,803,1.2547,2
